date,max_temp,min_temp
2026-06-28,33.5,22.3
2026-06-29,29.4,19.1
2026-06-30,28.5,18.6
2026-07-01,21.9,16.7
2026-07-02,26.0,14.3
2026-07-03,24.7,17.1
2026-07-04,26.5,15.3
2026-07-05,24.3,17.1
